,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,31,25,14,72.0,90171,#1f190e
1,3,0,1,66,56,38,161.0,130177,#423826
2,5,0,2,96,84,58,237.0,157410,#60543a
3,7,0,3,122,109,81,310.0,145782,#7a6d51
4,9,0,4,151,135,106,391.0,119586,#97876a
5,11,0,5,177,164,143,481.0,74346,#b1a48f
6,13,0,6,214,204,190,606.0,32017,#d6ccbe
7,0,1,0,20,30,10,63.0,33301,#141e0a
8,2,1,1,45,59,26,130.0,50708,#2d3b1a
9,4,1,2,70,86,41,198.0,51940,#465629
10,6,1,3,96,113,60,268.0,46856,#60713c
11,8,1,4,121,139,90,349.0,34187,#798b5a
12,10,1,5,155,173,124,449.0,23426,#9bad7c
13,12,1,6,196,210,174,572.0,10093,#c4d2ae
