,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,3,0,0,19,25,30,76.0,20476,#13191e
1,9,0,1,32,41,46,119.0,26866,#20292e
2,15,0,2,46,60,66,172.0,17883,#2e3c42
3,19,0,3,28,77,121,224.0,13611,#1c4d79
4,22,0,4,67,85,94,245.0,11036,#43555e
5,26,0,5,67,102,132,301.0,15113,#436684
6,30,0,6,102,120,146,367.0,57065,#667892
7,32,0,7,117,133,153,402.0,43018,#758599
8,35,0,8,135,149,163,447.0,30885,#8795a3
9,36,0,9,153,167,178,498.0,31824,#99a7b2
10,39,0,10,168,182,191,541.0,38409,#a8b6bf
11,41,0,11,182,194,203,579.0,59703,#b6c2cb
12,42,0,12,193,204,211,609.0,54641,#c1ccd3
13,44,0,13,206,213,220,639.0,130882,#ced5dc
14,45,0,14,213,222,228,663.0,62815,#d5dee4
15,47,0,15,222,232,240,692.0,75585,#dee8f0
16,49,0,16,235,243,250,727.0,25594,#ebf3fa
17,0,1,0,9,13,4,27.0,10145,#090d04
18,2,1,1,16,26,11,54.0,15240,#101a0b
19,4,1,2,22,35,21,78.0,15938,#162315
20,5,1,3,26,43,8,78.0,7616,#1a2b08
21,7,1,4,28,44,31,102.0,12745,#1c2c1f
22,8,1,5,34,50,21,104.0,8791,#223215
23,10,1,6,41,64,17,124.0,4773,#294011
24,11,1,7,36,54,38,128.0,11872,#243626
25,13,1,8,50,70,35,154.0,5361,#324623
26,14,1,9,44,65,49,157.0,6452,#2c4131
27,17,1,10,64,91,35,189.0,2409,#405b23
28,18,1,11,57,82,58,196.0,4798,#39523a
29,21,1,12,75,101,69,243.0,2665,#4b6545
30,24,1,13,93,124,46,266.0,850,#5d7c2e
31,28,1,14,106,135,83,323.0,1051,#6a8753
32,33,1,15,138,176,88,402.0,661,#8ab058
33,38,1,16,179,224,124,515.0,361,#b3e07c
34,1,2,0,19,19,13,52.0,9506,#13130d
35,6,2,1,34,35,27,97.0,10699,#22231b
36,12,2,2,49,50,43,143.0,11625,#31322b
37,16,2,3,65,65,57,186.0,12727,#414139
38,20,2,4,87,75,63,224.0,10015,#574b3f
39,23,2,5,87,88,79,255.0,7153,#57584f
40,25,2,6,111,92,71,276.0,9188,#6f5c47
41,27,2,7,110,109,99,317.0,6042,#6e6d63
42,29,2,8,140,112,82,333.0,6185,#8c7052
43,31,2,9,132,129,117,379.0,5550,#848175
44,34,2,10,154,148,137,438.0,5552,#9a9489
45,37,2,11,170,170,161,501.0,5740,#aaaaa1
46,40,2,12,189,191,185,565.0,7390,#bdbfb9
47,43,2,13,205,209,206,621.0,11177,#cdd1ce
48,46,2,14,220,224,222,666.0,17861,#dce0de
49,48,2,15,234,237,235,705.0,20784,#eaedeb
50,50,2,16,248,252,249,748.0,15672,#f8fcf9
