,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,39,54,32,9661666,2,0
2,78,109,66,11923195,6,0
1,63,53,42,4778814,1,1
6,180,162,146,5073537,3,1
5,148,148,154,350538,5,1
4,146,176,125,5749797,0,2
3,123,149,150,340853,4,2
