,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,18,23,17,60.0,24813,#121711
1,4,0,1,29,37,27,94.0,33841,#1d251b
2,8,0,2,42,52,37,132.0,28696,#2a3425
3,12,0,3,56,68,49,173.0,24379,#384431
4,16,0,4,70,85,61,217.0,22975,#46553d
5,20,0,5,85,103,73,260.0,23247,#556749
6,25,0,6,92,115,96,304.0,16787,#5c7360
7,27,0,7,107,126,79,313.0,17227,#6b7e4f
8,31,0,8,110,134,113,357.0,18147,#6e8671
9,33,0,9,130,147,94,372.0,14694,#82935e
10,36,0,10,129,152,134,415.0,15549,#819886
11,38,0,11,155,169,110,433.0,10822,#9ba96e
12,41,0,12,151,172,158,479.0,10658,#97ac9e
13,44,0,13,182,194,131,507.0,6871,#b6c283
14,46,0,14,181,196,189,563.0,5517,#b5c4bd
15,48,0,15,216,228,164,610.0,3498,#d8e4a4
16,50,0,16,241,247,234,717.0,3570,#f1f7ea
17,1,1,0,27,18,8,56.0,28978,#1b1208
18,5,1,1,50,38,22,106.0,37732,#322616
19,9,1,2,76,50,12,141.0,27741,#4c320c
20,13,1,3,78,63,40,181.0,41107,#4e3f28
21,15,1,4,110,71,25,205.0,22024,#6e4719
22,19,1,5,101,82,52,236.0,47954,#655234
23,22,1,6,122,99,63,283.0,46877,#7a633f
24,24,1,7,152,95,44,293.0,14049,#985f2c
25,26,1,8,119,105,89,312.0,15872,#776959
26,29,1,9,143,118,79,341.0,46281,#8f764f
27,34,1,10,185,128,76,389.0,14482,#b9804c
28,35,1,11,160,136,98,395.0,46086,#a08862
29,40,1,12,180,155,113,448.0,40674,#b49b71
30,42,1,13,222,161,106,487.0,9476,#dea16a
31,43,1,14,199,175,130,506.0,31505,#c7af82
32,47,1,15,223,197,150,570.0,21519,#dfc596
33,49,1,16,241,223,187,648.0,8506,#f1dfbb
34,0,2,0,15,26,8,49.0,20256,#0f1a08
35,3,2,1,26,40,13,78.0,30302,#1a280d
36,6,2,2,36,54,22,111.0,23694,#243616
37,7,2,3,45,60,6,112.0,14888,#2d3c06
38,10,2,4,51,70,27,147.0,20910,#33461b
39,11,2,5,67,84,12,163.0,10594,#43540c
40,14,2,6,67,86,35,188.0,16044,#435623
41,17,2,7,92,113,19,224.0,8144,#5c7113
42,18,2,8,84,102,42,227.0,14328,#54662a
43,21,2,9,101,121,52,272.0,13671,#657934
44,23,2,10,118,142,29,288.0,6859,#768e1d
45,28,2,11,119,140,61,320.0,11459,#778c3d
46,30,2,12,146,171,43,356.0,5713,#92ab2b
47,32,2,13,139,161,72,370.0,8641,#8ba148
48,37,2,14,166,185,84,432.0,6004,#a6b954
49,39,2,15,178,205,54,436.0,3220,#b2cd36
50,45,2,16,202,223,98,518.0,3119,#cadf62
