,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,14,17,15,48.0,23358,#0e110f
1,5,0,1,29,37,29,95.0,31619,#1d251d
2,8,0,2,43,53,42,138.0,36811,#2b352a
3,13,0,3,59,71,53,183.0,35914,#3b4735
4,18,0,4,74,89,61,224.0,36620,#4a593d
5,21,0,5,83,98,82,262.0,25841,#536252
6,24,0,6,95,112,69,277.0,32087,#5f7045
7,28,0,7,100,118,96,313.0,32810,#647660
8,29,0,8,117,132,82,332.0,32204,#758452
9,33,0,9,118,135,112,364.0,32224,#768770
10,35,0,10,137,152,97,386.0,30780,#899861
11,38,0,11,137,153,128,418.0,25907,#899980
12,40,0,12,159,172,113,445.0,23538,#9fac71
13,43,0,13,163,176,150,487.0,16448,#a3b096
14,45,0,14,184,197,136,517.0,12063,#b8c588
15,47,0,15,195,209,177,581.0,11937,#c3d1b1
16,50,0,16,225,239,214,671.0,5513,#e1efd6
17,2,1,0,23,16,8,49.0,23073,#171008
18,6,1,1,46,35,17,99.0,29130,#2e2311
19,10,1,2,63,52,39,154.0,24569,#3f3427
20,12,1,3,84,57,23,166.0,18350,#543917
21,15,1,4,85,71,54,211.0,32509,#554736
22,20,1,5,111,82,46,240.0,21454,#6f522e
23,23,1,6,106,91,73,271.0,32682,#6a5b49
24,26,1,7,133,104,69,305.0,26183,#856845
25,30,1,8,127,113,93,335.0,28853,#7f715d
26,34,1,9,154,125,89,369.0,28530,#9a7d59
27,36,1,10,149,135,114,398.0,25420,#958772
28,39,1,11,173,146,110,430.0,28763,#ad926e
29,42,1,12,173,159,136,468.0,22814,#ad9f88
30,44,1,13,195,171,126,494.0,21788,#c3ab7e
31,46,1,14,201,182,152,536.0,24020,#c9b698
32,48,1,15,221,201,175,595.0,15789,#ddc9af
33,49,1,16,244,226,205,670.0,7472,#f4e2cd
34,0,2,0,5,15,0,23.0,10140,#050f00
35,3,2,1,21,33,6,60.0,16288,#152106
36,4,2,2,29,49,18,95.0,11196,#1d3112
37,7,2,3,44,56,7,109.0,9462,#2c3807
38,9,2,4,48,69,26,141.0,11889,#30451a
39,11,2,5,65,79,20,165.0,9340,#414f14
40,14,2,6,59,93,37,188.0,9865,#3b5d25
41,16,2,7,82,95,38,214.0,9209,#525f26
42,17,2,8,83,114,23,222.0,4105,#537217
43,19,2,9,76,115,49,240.0,8911,#4c7331
44,22,2,10,103,117,46,264.0,8936,#67752e
45,25,2,11,94,136,58,286.0,7417,#5e883a
46,27,2,12,121,136,56,312.0,7899,#798838
47,31,2,13,115,162,67,341.0,4507,#73a243
48,32,2,14,140,156,68,363.0,5521,#8c9c44
49,37,2,15,149,187,79,412.0,5006,#95bb4f
50,41,2,16,167,218,80,465.0,3236,#a7da50
