,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,20,29,15,66.0,80643,#141d0f
1,2,0,1,47,60,38,144.0,100715,#2f3c26
2,4,0,2,75,93,57,226.0,107430,#4b5d39
3,6,0,3,102,121,79,302.0,113237,#66794f
4,8,0,4,129,146,104,377.0,101642,#819268
5,10,0,5,161,176,127,460.0,61535,#a1b07f
6,12,0,6,199,214,180,586.0,21647,#c7d6b4
7,1,1,0,34,25,12,72.0,50435,#22190c
8,3,1,1,73,57,36,167.0,62594,#493924
9,5,1,2,105,85,61,251.0,73601,#69553d
10,7,1,3,135,114,86,335.0,74268,#877256
11,9,1,4,164,142,112,418.0,70609,#a48e70
12,11,1,5,193,174,140,506.0,57884,#c1ae8c
13,13,1,6,226,207,181,611.0,23760,#e2cfb5
