,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,33,44,26,126816,5,0
1,41,36,27,92569,2,0
2,70,84,56,135988,8,0
3,85,76,51,169461,6,1
4,124,108,74,165729,0,1
5,108,126,90,95163,1,1
6,162,140,105,136298,3,2
7,169,193,143,31122,4,2
8,202,180,154,46854,7,2
