,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,19,30,12,64.0,52541,#131e0c
1,4,0,1,44,58,32,133.0,63506,#2c3a20
2,7,0,2,72,87,50,209.0,59602,#485732
3,9,0,3,99,116,69,285.0,59611,#637445
4,12,0,4,127,144,90,361.0,54383,#7f905a
5,15,0,5,157,171,123,447.0,36790,#9dab7b
6,18,0,6,197,208,168,569.0,12865,#c5d0a8
7,2,1,0,39,27,14,82.0,68875,#271b0e
8,5,1,1,75,58,38,171.0,103915,#4b3a26
9,8,1,2,106,86,62,254.0,113829,#6a563e
10,11,1,3,138,117,81,337.0,116882,#8a7551
11,14,1,4,165,143,109,415.0,103788,#a58f6d
12,17,1,5,195,171,140,505.0,74134,#c3ab8c
13,19,1,6,226,206,180,610.0,38247,#e2ceb4
14,0,2,0,14,13,15,42.0,12818,#0e0d0f
15,3,2,1,37,42,44,123.0,9492,#252a2c
16,6,2,2,65,69,69,204.0,6070,#414545
17,10,2,3,95,100,98,292.0,5034,#5f6462
18,13,2,4,134,136,122,390.0,4014,#86887a
19,16,2,5,175,175,156,503.0,2676,#afaf9c
20,20,2,6,228,229,213,667.5,928,#e4e5d5
