,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,13,2,0,17.0,3293,#0d0200
1,3,0,1,26,15,0,43.0,5128,#1a0f00
2,8,0,2,36,27,7,69.0,5009,#241b07
3,9,0,3,48,21,0,73.0,3144,#301500
4,13,0,4,51,39,12,102.0,5301,#33270c
5,14,0,5,67,34,2,105.0,2898,#432202
6,20,0,6,68,45,18,132.0,4821,#442d12
7,21,0,7,89,49,7,145.0,2365,#593107
8,24,0,8,79,66,18,163.0,1809,#4f4212
9,26,0,9,86,54,26,166.0,3847,#56361a
10,29,0,10,113,66,14,192.0,2014,#71420e
11,31,0,11,101,67,31,200.0,3788,#65431f
12,36,0,12,120,80,37,237.0,3447,#785025
13,41,0,13,142,87,23,253.0,1040,#8e5717
14,46,0,14,143,95,46,284.0,2404,#8f5f2e
15,54,0,15,169,114,54,334.0,1564,#a97236
16,64,0,16,202,138,66,401.0,664,#ca8a42
17,7,1,0,20,27,19,67.0,24438,#141b13
18,16,1,1,36,47,33,117.0,35178,#242f21
19,25,1,2,53,66,46,164.0,36062,#35422e
20,33,1,3,69,84,55,208.0,38091,#455437
21,38,1,4,79,95,74,248.0,28421,#4f5f4a
22,42,1,5,90,109,60,260.0,29893,#5a6d3c
23,47,1,6,95,113,88,296.0,33413,#5f7158
24,50,1,7,111,128,72,313.0,29817,#6f8048
25,56,1,8,111,129,103,342.0,33964,#6f8167
26,59,1,9,130,147,86,362.5,28918,#829356
27,61,1,10,128,145,118,390.0,29880,#809176
28,65,1,11,150,165,101,414.0,23770,#96a565
29,69,1,12,148,163,131,443.0,22155,#94a383
30,72,1,13,173,189,118,477.0,13991,#adbd76
31,75,1,14,171,184,151,506.0,14350,#abb897
32,79,1,15,195,210,169,572.0,11219,#c3d2a9
33,82,1,16,219,235,207,657.0,6015,#dbebcf
34,6,2,0,26,21,15,63.0,17039,#1a150f
35,18,2,1,50,42,30,123.0,20677,#322a1e
36,28,2,2,72,60,44,177.0,27209,#483c2c
37,34,2,3,93,75,50,218.0,24956,#5d4b32
38,40,2,4,95,83,70,249.0,20212,#5f5346
39,44,2,5,117,94,63,274.0,25886,#755e3f
40,49,2,6,116,103,86,305.0,21754,#746756
41,53,2,7,139,113,79,331.0,26362,#8b714f
42,58,2,8,136,122,103,361.0,21366,#887a67
43,60,2,9,159,131,96,387.0,27269,#9f8360
44,66,2,10,155,142,121,418.0,20792,#9b8e79
45,68,2,11,178,150,114,442.0,24932,#b29672
46,73,2,12,177,163,140,480.0,20959,#b1a38c
47,74,2,13,197,176,128,502.0,19262,#c5b080
48,77,2,14,202,184,155,543.0,21606,#cab89b
49,81,2,15,223,203,176,601.0,14318,#dfcbb0
50,83,2,16,245,227,206,673.0,6883,#f5e3ce
51,0,3,0,2,12,0,16.0,7130,#020c00
52,5,3,1,16,28,4,49.0,10360,#101c04
53,10,3,2,19,44,14,76.0,6157,#132c0e
54,12,3,3,35,45,5,86.0,8050,#232d05
55,15,3,4,36,61,19,114.0,6709,#243d13
56,19,3,5,53,65,13,131.0,7387,#35410d
57,23,3,6,49,81,27,156.0,6658,#31511b
58,27,3,7,70,83,23,174.0,6717,#465317
59,30,3,8,64,101,35,198.0,6471,#406523
60,35,3,9,88,102,31,219.0,5694,#58661f
61,37,3,10,78,121,44,240.0,6020,#4e792c
62,43,3,11,107,122,40,267.0,5121,#6b7a28
63,45,3,12,94,140,51,283.0,3918,#5e8c33
64,51,3,13,127,144,51,320.0,3764,#7f9033
65,55,3,14,115,165,59,337.0,2418,#73a53b
66,62,3,15,143,189,65,395.0,2875,#8fbd41
67,70,3,16,164,220,76,457.0,2569,#a4dc4c
68,2,4,0,6,6,8,21.0,4240,#060608
69,4,4,1,15,15,17,48.0,6501,#0f0f11
70,11,4,2,25,27,29,81.0,4857,#191b1d
71,17,4,3,36,41,43,120.0,6060,#24292b
72,22,4,4,48,53,55,155.0,5799,#303537
73,32,4,5,63,67,70,200.0,4097,#3f4346
74,39,4,6,80,85,86,249.0,3494,#505556
75,48,4,7,94,101,107,300.0,2609,#5e656b
76,52,4,8,117,117,90,327.0,1258,#75755a
77,57,4,9,115,121,125,359.0,2080,#73797d
78,63,4,10,141,141,114,398.0,1234,#8d8d72
79,67,4,11,139,145,149,431.0,1415,#8b9195
80,71,4,12,166,166,135,468.0,1249,#a6a687
81,76,4,13,168,171,175,513.0,1076,#a8abaf
82,78,4,14,192,192,161,547.0,792,#c0c0a1
83,80,4,15,195,201,203,599.0,997,#c3c9cb
84,84,4,16,246,249,237,728.0,631,#f6f9ed
