,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,19,33,2,57.0,16660,#132102
1,4,0,1,47,68,14,128.0,23893,#2f440e
2,7,0,2,78,103,27,205.0,19346,#4e671b
3,12,0,3,115,152,41,302.0,6887,#739829
4,5,1,0,61,52,40,154.0,123919,#3d3428
5,11,1,1,105,93,75,274.0,175855,#695d4b
6,15,1,2,153,139,112,405.0,149152,#998b70
7,18,1,3,198,184,167,545.0,59615,#c6b8a7
8,3,2,0,40,51,30,123.0,51065,#28331e
9,9,2,1,84,98,57,241.0,63697,#546239
10,14,2,2,125,142,95,361.0,45462,#7d8e5f
11,17,2,3,177,194,148,511.0,22222,#b1c294
12,1,3,0,31,22,7,61.0,47340,#1f1607
13,6,3,1,74,60,25,160.0,49483,#4a3c19
14,10,3,2,111,96,43,249.0,62504,#6f602b
15,13,3,3,148,127,68,342.0,43363,#947f44
16,2,4,0,27,28,27,83.0,15084,#1b1c1b
17,8,4,1,81,82,73,236.0,10855,#515249
18,16,4,2,144,144,138,425.0,7923,#90908a
19,19,4,3,200,201,202,602.0,5675,#c8c9ca
