,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,5,6,1,5369,-2,0
1,34,46,23,117909,6,1
2,45,37,22,109146,0,1
3,89,78,52,150056,5,1
4,78,93,61,131725,1,2
5,127,113,85,147257,4,2
6,119,136,104,102350,3,2
7,164,148,121,121412,2,3
8,173,189,159,48657,7,3
9,202,189,170,61075,8,3
10,247,244,235,5044,-1,4
