,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,32,27,19,50232,7,0
1,33,40,23,53970,1,0
2,64,56,37,97382,5,0
3,65,75,47,70454,10,1
4,84,76,64,101224,14,1
5,106,90,35,77708,2,1
6,93,102,76,61853,6,2
7,110,100,84,100090,11,2
8,141,118,68,90876,13,2
9,129,140,109,26550,4,3
10,140,128,113,76735,0,3
11,171,144,97,85320,3,3
12,186,165,136,72115,9,4
13,186,196,168,8216,12,4
14,222,202,180,27275,8,4
