,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,13,16,8,25442,-2,0
1,47,64,31,189285,4,1
2,70,61,37,165256,5,1
3,93,117,69,194424,2,2
4,124,109,75,194317,1,2
5,146,169,123,101272,0,3
6,178,163,141,104962,3,3
7,228,222,211,25042,-1,4
