,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,33,54,13,104161,2,0
1,57,49,21,65468,3,0
2,62,88,34,137030,6,1
3,100,90,55,93877,7,1
4,92,115,61,122762,10,2
5,139,123,86,116222,9,2
6,121,137,98,111525,0,2
7,154,168,127,86581,8,3
8,175,157,118,92032,1,3
9,194,204,177,33684,5,4
10,213,203,178,36658,4,4
