,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,36,58,16,132132,2,0
1,65,56,26,88828,4,1
2,70,96,41,157077,0,2
3,116,104,69,130386,6,3
4,105,125,78,137059,8,4
5,163,144,105,133412,1,5
6,142,156,116,119358,3,6
7,186,197,166,50071,7,7
8,206,195,167,51677,5,8
