,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,12,13,5,25616,-2,0
1,36,49,24,105710,3,1
2,47,39,23,98292,4,1
3,86,75,50,132915,6,1
4,75,90,58,118549,7,2
5,120,107,79,134654,0,2
6,112,129,97,102335,1,2
7,155,139,110,121336,2,3
8,160,177,146,57441,5,3
9,189,175,152,77960,8,3
10,225,223,206,25192,-1,4
