,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,31,22,7,61.0,47600,#1f1607
1,6,0,1,74,60,25,159.0,50177,#4a3c19
2,10,0,2,111,96,43,249.0,63807,#6f602b
3,13,0,3,148,127,69,343.0,44360,#947f45
4,2,1,0,27,28,27,82.0,14811,#1b1c1b
5,8,1,1,80,80,71,231.0,10766,#505047
6,16,1,2,142,142,136,418.5,8014,#8e8e88
7,19,1,3,199,201,202,600.0,5695,#c7c9ca
8,0,2,0,19,33,2,57.0,17021,#132102
9,4,2,1,48,69,14,130.0,24039,#30450e
10,7,2,2,79,104,27,206.0,18692,#4f681b
11,12,2,3,115,152,41,303.0,6640,#739829
12,3,3,0,40,50,30,122.0,50247,#28321e
13,9,3,1,84,97,57,240.0,63720,#546139
14,14,3,2,125,142,95,360.0,45824,#7d8e5f
15,17,3,3,176,193,148,510.0,22467,#b0c194
16,5,4,0,61,52,40,153.0,122246,#3d3428
17,11,4,1,105,93,74,273.0,174364,#695d4a
18,15,4,2,152,138,112,404.0,149109,#988a70
19,18,4,3,198,184,166,544.0,60401,#c6b8a6
