,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,18,19,17,55.0,37162,#121311
1,9,0,1,36,42,34,114.0,49420,#242a22
2,13,0,2,55,61,48,165.0,52956,#373d30
3,18,0,3,73,80,62,216.0,58587,#49503e
4,24,0,4,94,96,71,261.0,58167,#5e6047
5,28,0,5,95,113,91,298.0,44267,#5f715b
6,31,0,6,119,117,83,320.0,53455,#777553
7,34,0,7,117,131,110,357.0,44918,#75836e
8,37,0,8,133,146,92,372.0,39014,#85925c
9,39,0,9,152,133,106,393.0,37311,#98856a
10,41,0,10,141,152,129,421.0,37191,#8d9881
11,43,0,11,159,170,110,439.0,30967,#9faa6e
12,44,0,12,177,156,126,460.0,35050,#b19c7e
13,46,0,13,173,177,154,503.0,28410,#adb19a
14,48,0,14,198,185,139,520.0,33968,#c6b98b
15,49,0,15,210,202,173,585.0,29743,#d2caad
16,50,0,16,236,230,207,668.0,13660,#ece6cf
17,1,1,0,20,9,0,33.0,9174,#140900
18,4,1,1,36,26,8,70.0,13891,#241a08
19,7,1,2,51,40,18,108.0,11213,#332812
20,8,1,3,67,38,6,113.0,6402,#432606
21,11,1,4,70,52,29,151.0,13129,#46341d
22,14,1,5,93,58,17,168.0,6121,#5d3a11
23,16,1,6,86,65,40,191.0,13954,#564128
24,20,1,7,120,77,30,227.0,5087,#784d1e
25,21,1,8,101,77,49,227.0,14109,#654d31
26,25,1,9,116,89,59,264.0,14122,#74593b
27,27,1,10,145,98,48,290.0,4564,#916230
28,29,1,11,131,102,70,303.0,12339,#836646
29,33,1,12,148,115,80,343.0,11642,#947350
30,36,1,13,176,123,65,362.0,2778,#b07b41
31,38,1,14,166,130,92,388.0,8326,#a6825c
32,42,1,15,191,148,101,438.0,5245,#bf9465
33,47,1,16,221,173,118,508.0,2053,#ddad76
34,0,2,0,5,15,0,23.0,10370,#050f00
35,3,2,1,20,33,8,60.0,16813,#142108
36,5,2,2,27,48,21,95.0,11890,#1b3015
37,6,2,3,42,54,8,106.0,11126,#2a3608
38,10,2,4,45,67,29,140.0,12623,#2d431d
39,12,2,5,62,77,19,159.0,10695,#3e4d13
40,15,2,6,59,90,39,186.0,11689,#3b5a27
41,17,2,7,79,94,36,209.0,9952,#4f5e24
42,19,2,8,79,114,24,219.0,4877,#4f7218
43,22,2,9,75,112,52,239.0,11131,#4b7034
44,23,2,10,101,115,45,260.0,9664,#65732d
45,26,2,11,92,133,61,285.0,9811,#5c853d
46,30,2,12,119,136,55,308.0,9148,#778837
47,32,2,13,113,156,74,341.0,6222,#719c4a
48,35,2,14,138,157,67,360.0,6327,#8a9d43
49,40,2,15,148,186,80,411.0,5699,#94ba50
50,45,2,16,166,218,81,465.0,3568,#a6da51
