,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,27,47,10,67680,9,0
1,47,40,15,38722,5,0
2,49,76,24,98056,2,0
3,81,71,35,58359,17,1
4,71,89,52,72083,8,1
5,78,117,29,49133,14,1
6,107,97,64,69714,11,1
7,96,113,77,76799,13,1
8,118,153,59,30985,0,1
9,144,123,71,57190,1,2
10,121,134,104,73506,6,2
11,131,125,110,47221,7,2
12,173,149,102,64887,16,2
13,147,162,121,69509,10,2
14,189,175,143,47582,3,2
15,175,186,150,43547,4,3
16,211,219,199,13906,15,3
17,223,214,193,21121,12,3
