,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,12,13,5,25675,-2,0
1,48,39,23,99526,4,0
2,37,50,25,112098,3,1
3,86,76,50,134011,5,1
4,77,93,61,121189,0,1
5,121,108,80,134779,1,2
6,115,132,100,97478,8,2
7,156,140,111,120270,2,2
8,162,179,148,53219,6,3
9,189,175,153,76677,7,3
10,225,223,206,25078,-1,3
