,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,29,49,10,74394,9,0
1,52,44,17,49777,4,0
2,52,75,29,102750,15,0
3,71,108,27,54611,5,1
4,89,79,44,71308,13,1
5,82,100,63,85970,1,1
6,121,108,70,84762,2,1
7,109,145,52,37823,14,1
8,111,125,94,80901,6,2
9,137,131,113,49287,11,2
10,166,141,88,66635,7,2
11,139,154,114,85908,8,2
12,186,170,135,58689,0,2
13,169,182,143,54342,3,3
14,206,215,192,18247,10,3
15,221,211,189,24596,12,3
