,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,1,0,0,34,48,24,109.0,140065,#223018
1,4,0,1,81,101,60,244.0,171228,#51653c
2,7,0,2,124,143,98,364.0,165465,#7c8f62
3,9,0,3,174,190,143,497.0,60309,#aebe8f
4,2,1,0,50,38,19,110.0,90128,#322613
5,5,1,1,106,86,61,253.0,122476,#6a563d
6,8,1,2,155,133,104,392.0,122183,#9b8568
7,11,1,3,201,183,150,529.0,77980,#c9b796
8,0,2,0,17,18,20,56.0,18614,#111214
9,3,2,1,52,57,58,167.0,16115,#34393a
10,6,2,2,110,115,108,333.0,10170,#6e736c
11,10,2,3,178,181,167,522.0,5267,#b2b5a7
