,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,29,49,11,79647,12,0
1,51,43,17,47588,13,0
2,53,81,26,112635,4,0
3,87,77,42,68801,3,1
4,77,97,54,94842,10,1
5,99,139,40,41916,8,1
6,120,106,69,83819,5,2
7,105,120,86,87062,1,2
8,135,129,111,49443,14,2
9,165,139,87,67233,0,3
10,134,149,109,93658,9,3
11,164,177,138,63339,2,3
12,185,168,133,61429,11,4
13,202,211,187,22451,7,4
14,219,210,188,26137,6,4
