,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,12,0,0,14.0,108883,#0c0000
1,1,0,1,33,1,0,35.0,111509,#210100
2,3,0,2,51,3,0,55.0,91683,#330300
3,4,0,3,72,7,0,79.0,62020,#480700
4,5,0,4,97,13,0,110.0,41613,#610d00
5,7,0,5,127,21,0,147.0,27647,#7f1500
6,9,0,6,164,30,0,193.0,12034,#a41e00
7,2,1,0,32,6,5,45.0,75159,#200605
8,6,1,1,89,23,1,115.0,95440,#591701
9,8,1,2,148,40,0,190.0,101003,#942800
10,10,1,3,204,61,0,267.0,102536,#cc3d00
11,11,1,4,254,99,0,352.0,106233,#fe6300
12,12,1,5,255,187,0,451.0,49717,#ffbb00
13,13,1,6,255,251,118,617.0,14523,#fffb76
