,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,32,53,13,99565,2,0
1,58,50,21,67870,3,1
2,60,87,33,134644,10,1
3,102,91,56,96895,5,1
4,90,114,59,121811,9,2
5,119,135,96,111746,0,2
6,141,125,87,116856,1,2
7,152,166,125,90599,8,3
8,177,158,120,88825,7,3
9,193,203,175,36349,4,3
10,214,204,180,34840,6,4
