,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,37,59,16,136444,2,0
1,66,57,26,90939,4,0
2,71,97,42,158473,7,0
3,117,105,70,131719,1,1
4,106,126,79,136220,5,1
5,164,145,106,131223,8,1
6,143,157,117,116298,0,2
7,187,198,167,48372,6,2
8,207,195,168,50312,3,2
