,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,35,27,15,65789,3,1
1,27,39,16,78619,11,1
2,70,59,37,93710,7,1
3,57,74,37,107486,2,1
4,99,88,62,104570,8,1
5,85,103,67,108686,9,2
6,128,116,89,97994,4,2
7,114,133,99,92735,6,2
8,157,144,118,83054,1,2
9,148,167,134,59303,0,3
10,188,175,153,57961,12,3
11,196,211,183,25069,10,3
12,224,215,199,25024,5,3
