,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,32,28,21,58143,8,0
1,26,36,20,81195,5,0
2,52,65,41,96636,7,0
3,66,59,39,92254,0,1
4,87,79,67,83355,9,1
5,78,93,63,94074,1,1
6,114,97,42,77798,4,2
7,116,105,88,74569,13,2
8,105,123,90,70658,6,2
9,153,129,78,85933,14,3
10,146,134,118,50326,11,3
11,144,169,112,34584,12,3
12,183,158,122,66861,2,4
13,216,195,172,21823,10,4
14,194,213,183,11791,3,4
