,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,30,31,63,126.0,2845,#1e1f3f
1,6,0,1,63,30,128,222.0,4000,#3f1e80
2,13,0,2,31,31,223,286.0,4069,#1f1fdf
3,14,0,3,31,96,158,287.0,3174,#1f609e
4,15,0,4,98,97,94,309.0,2996,#62615e
5,24,0,5,127,31,222,380.0,4181,#7f1fde
6,26,0,6,31,127,224,382.0,3595,#1f7fe0
7,31,0,7,159,95,159,414.0,3003,#9f5f9f
8,36,0,8,156,188,159,476.0,3579,#9cbc9f
9,38,0,9,127,127,224,477.0,3340,#7f7fe0
10,40,0,10,32,193,252,478.0,2264,#20c1fc
11,44,0,11,221,63,249,508.0,3491,#dd3ff9
12,46,0,12,223,221,124,541.0,3215,#dfdd7c
13,47,0,13,127,223,226,574.0,3519,#7fdfe2
14,48,0,14,223,159,223,604.0,4301,#df9fdf
15,49,0,15,219,249,191,636.0,2917,#dbf9bf
16,50,0,16,255,255,255,765.0,890093,#ffffff
17,1,1,0,27,65,3,123.0,2052,#1b4103
18,4,1,1,26,150,8,185.0,1221,#1a9608
19,7,1,2,5,127,80,224.0,1863,#057f50
20,9,1,3,22,223,18,254.0,1807,#16df12
21,10,1,4,92,157,2,254.0,1944,#5c9d02
22,17,1,5,79,160,65,317.0,1524,#4fa041
23,18,1,6,7,223,95,325.0,2311,#07df5f
24,20,1,7,128,191,31,348.0,1760,#80bf1f
25,21,1,8,78,244,31,349.0,1872,#4ef41f
26,23,1,9,31,191,133,351.0,1963,#1fbf85
27,30,1,10,135,225,30,413.0,1784,#87e11e
28,32,1,11,92,224,125,415.0,1380,#5ce07d
29,33,1,12,1,253,194,447.0,1575,#01fdc2
30,34,1,13,198,253,2,453.0,1481,#c6fd02
31,42,1,14,128,253,107,480.0,1392,#80fd6b
32,43,1,15,64,254,165,483.0,1322,#40fea5
33,45,1,16,192,255,66,540.0,1038,#c0ff42
34,0,2,0,64,1,4,94.0,1748,#400104
35,3,2,1,155,9,4,176.0,1259,#9b0904
36,5,2,2,126,1,65,218.0,1220,#7e0141
37,8,2,3,128,64,28,226.0,1840,#80401c
38,11,2,4,223,2,30,256.0,2303,#df021e
39,12,2,5,167,31,85,286.0,1786,#a71f55
40,16,2,6,223,70,10,317.0,1691,#df460a
41,19,2,7,189,129,6,327.0,1130,#bd8106
42,22,2,8,191,30,134,349.0,1815,#bf1e86
43,25,2,9,191,125,64,380.0,1308,#bf7d40
44,27,2,10,229,3,127,382.0,1802,#e5037f
45,28,2,11,250,65,68,383.0,1382,#fa4144
46,29,2,12,246,143,26,408.5,1168,#f68f1a
47,35,2,13,250,95,158,476.0,1743,#fa5f9e
48,37,2,14,253,192,31,477.0,1635,#fdc01f
49,39,2,15,255,31,196,478.0,1599,#ff1fc4
50,41,2,16,253,157,95,478.0,1700,#fd9d5f
