,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,0,0,0,13,19,9,43.0,40101,#0d1309
1,2,0,1,29,40,23,91.0,53137,#1d2817
2,4,0,2,44,54,43,139.0,45811,#2c362b
3,5,0,3,54,73,24,153.0,30465,#364918
4,8,0,4,64,77,57,197.0,46000,#404d39
5,10,0,5,78,100,42,221.0,34452,#4e642a
6,12,0,6,83,99,74,256.0,48845,#53634a
7,14,0,7,101,122,58,281.0,36340,#657a3a
8,16,0,8,101,119,92,312.0,50147,#65775c
9,18,0,9,124,142,76,342.0,37493,#7c8e4c
10,19,0,10,120,137,112,368.0,43187,#788970
11,21,0,11,144,158,101,402.0,34717,#909e65
12,23,0,12,158,196,79,434.0,8993,#9ec44f
13,25,0,13,144,159,134,437.0,26834,#909f86
14,27,0,14,169,181,126,478.0,23567,#a9b57e
15,30,0,15,186,199,163,547.0,18780,#bac7a3
16,32,0,16,217,232,204,646.0,8594,#d9e8cc
17,1,1,0,23,16,7,49.0,25515,#171007
18,3,1,1,46,35,18,101.0,30956,#2e2312
19,6,1,2,64,54,41,160.0,24678,#403629
20,7,1,3,84,57,23,166.0,19457,#543917
21,9,1,4,88,73,56,216.0,33163,#584938
22,11,1,5,113,82,45,243.0,19871,#71522d
23,13,1,6,108,93,74,275.0,34252,#6c5d4a
24,15,1,7,135,105,70,310.0,25063,#876946
25,17,1,8,129,114,94,339.0,29221,#81725e
26,20,1,9,155,127,91,373.0,28422,#9b7f5b
27,22,1,10,151,136,115,403.0,25815,#978873
28,24,1,11,175,148,111,435.0,27380,#af946f
29,26,1,12,174,160,137,471.0,22274,#aea089
30,28,1,13,196,173,128,499.0,21527,#c4ad80
31,29,1,14,201,183,154,540.0,22516,#c9b79a
32,31,1,15,222,202,175,597.0,15114,#decaaf
33,33,1,16,244,226,205,671.0,7313,#f4e2cd
