,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,33,28,19,53108,3,0
1,32,40,23,52108,5,0
2,65,57,38,102492,9,0
3,64,74,46,68191,1,1
4,86,78,65,102998,0,1
5,107,91,37,79011,11,1
6,91,101,75,63206,6,2
7,112,101,86,99138,13,2
8,142,119,69,91040,7,2
9,127,138,107,28347,8,3
10,141,130,114,74402,2,3
11,172,145,98,82710,14,3
12,187,166,138,68707,4,4
13,184,195,167,8539,12,4
14,223,203,182,26003,10,4
