,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,32,53,13,102554,5,0
1,58,50,21,66642,2,0
2,61,87,34,137744,7,1
3,101,90,55,95280,6,1
4,91,115,61,125283,1,2
5,140,124,87,116302,9,2
6,122,138,98,114492,4,2
7,176,158,119,89965,0,3
8,155,169,129,84429,10,3
9,196,205,179,31752,3,4
10,213,203,179,35557,8,4
