,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,23,34,15,70403,5,1
1,34,27,16,69131,10,1
2,53,68,37,85869,12,1
3,69,59,37,96944,2,1
4,98,86,59,112146,8,1
5,82,97,65,90706,1,2
6,126,112,84,111369,0,2
7,111,128,96,79116,9,2
8,155,140,110,102298,7,2
9,146,163,131,54272,11,3
10,184,169,145,73357,6,3
11,193,208,181,24836,3,3
12,219,209,194,29553,4,3
