,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,5,0,0,61,52,40,154.0,122452,#3d3428
1,11,0,1,105,93,75,274.0,174129,#695d4b
2,15,0,2,152,138,112,404.0,147240,#988a70
3,18,0,3,198,184,166,543.0,60440,#c6b8a6
4,3,1,0,40,51,30,124.0,51927,#28331e
5,9,1,1,85,99,58,244.0,64494,#55633a
6,14,1,2,126,144,97,366.0,44711,#7e9061
7,17,1,3,178,195,149,515.0,21232,#b2c395
8,1,2,0,32,23,8,64.0,49967,#201708
9,6,2,1,77,62,26,165.0,52279,#4d3e1a
10,10,2,2,113,97,45,254.0,62918,#71612d
11,13,2,3,150,128,70,347.0,42215,#968046
12,2,3,0,27,28,27,83.0,15049,#1b1c1b
13,8,3,1,81,82,73,236.0,10957,#515249
14,16,3,2,144,145,139,428.0,7820,#90918b
15,19,3,3,201,202,203,605.0,5616,#c9cacb
16,0,4,0,20,34,2,58.0,17183,#142202
17,4,4,1,48,69,14,131.0,24041,#30450e
18,7,4,2,79,104,27,207.5,18780,#4f681b
19,12,4,3,116,152,41,304.0,6550,#749829
