,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,12,13,5,25181,-2,0
1,47,38,23,96891,4,1
2,37,50,25,109268,7,1
3,85,74,49,129855,6,2
4,76,91,59,119829,1,2
5,119,106,78,135105,0,3
6,114,131,99,99611,5,3
7,154,138,109,123201,2,4
8,161,178,147,54750,3,4
9,188,174,151,81134,8,5
10,225,223,206,25175,-1,5
