,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,33,29,21,60606,6,0
1,27,37,20,84326,4,0
2,53,66,42,98741,12,0
3,66,59,46,95095,13,1
4,101,87,32,59684,2,1
5,80,95,64,93950,1,1
6,95,87,74,93941,8,2
7,133,112,62,78799,10,2
8,107,125,91,68027,7,2
9,129,119,106,62363,0,3
10,164,138,90,74551,9,3
11,146,171,114,32887,11,3
12,179,158,129,65486,5,4
13,218,196,173,20236,14,4
14,195,215,185,11308,3,4
