,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,12,13,5,25656,-2,0
1,44,57,30,146186,3,1
2,63,54,34,189881,2,1
3,93,109,78,151596,1,2
4,121,108,80,219836,5,2
5,150,166,135,85872,4,3
6,175,160,134,155902,0,3
7,226,223,206,25071,-1,4
