,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,32,53,13,98993,2,0
1,58,50,21,65676,7,0
2,60,86,33,133769,8,1
3,101,90,55,95203,3,1
4,89,114,58,122063,6,2
5,118,134,95,112107,0,2
6,139,124,86,115908,1,2
7,151,165,124,91650,9,3
8,176,157,118,91546,4,3
9,192,202,174,37107,5,4
10,213,203,178,35978,10,4
