,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,3,0,0,24,28,27,26.9973,49430,#181c1b
1,8,0,1,52,60,54,57.006600000000006,66756,#343c36
2,14,0,2,101,120,99,111.82419999999999,65836,#657863
3,18,0,3,138,157,136,148.1319,28449,#8a9d88
4,22,0,4,169,183,168,176.73035,11916,#a9b7a8
5,25,0,5,208,214,197,209.7736,5272,#d0d6c5
6,27,0,6,247,248,237,246.2607,3588,#f7f8ed
7,0,1,0,21,7,0,10.8311,6188,#150700
8,2,1,1,43,22,1,26.043999999999997,10016,#2b1601
9,6,1,2,65,36,5,41.250600000000006,13087,#412405
10,9,1,3,90,51,11,57.8855,13777,#5a330b
11,11,1,4,121,69,21,78.69555,11692,#794515
12,13,1,5,159,91,35,104.134,6163,#9f5b23
13,17,1,6,199,117,51,132.8433,1662,#c77533
14,4,2,0,37,31,19,32.004799999999996,28066,#251f13
15,10,2,1,90,74,45,76.02369999999999,125508,#5a4a2d
16,15,2,2,136,115,77,117.0436,162140,#88734d
17,19,2,3,175,150,107,152.6632,70429,#af966b
18,21,2,4,199,174,127,176.1106,42947,#c7ae7f
19,23,2,5,222,196,149,198.54649999999998,23600,#dec495
20,26,2,6,241,223,180,223.043,8741,#f1dfb4
21,1,3,0,15,27,10,22.1519,32150,#0f1b0a
22,5,3,1,29,45,17,37.3908,51335,#1d2d11
23,7,3,2,48,66,25,55.9733,55144,#304219
24,12,3,3,79,100,42,86.94239999999999,56103,#4f642a
25,16,3,4,118,144,66,126.7443,37349,#769042
26,20,3,5,164,190,77,168.9732,9887,#a4be4d
27,24,3,6,203,227,105,204.87419999999997,2769,#cbe369
