,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex
0,2,0,0,50,38,19,110.0,88310,#322613
1,6,0,1,106,86,61,254.0,122060,#6a563d
2,11,0,2,156,133,104,392.0,121821,#9c8568
3,14,0,3,201,183,150,529.0,77578,#c9b796
4,0,1,0,17,18,20,55.0,18021,#111214
5,5,1,1,51,56,58,164.0,15903,#33383a
6,9,1,2,110,116,110,335.0,9740,#6e746e
7,15,1,3,180,183,172,533.0,4799,#b4b7ac
8,1,2,0,19,34,5,61.0,33791,#132205
9,4,2,1,56,78,23,156.0,32328,#384e17
10,7,2,2,93,123,42,256.0,24760,#5d7b2a
11,12,2,3,144,189,66,395.0,8267,#90bd42
12,3,3,0,40,51,35,128.0,102488,#283323
13,8,3,1,86,105,69,262.0,144915,#566945
14,10,3,2,128,146,103,376.0,145161,#809267
15,13,3,3,178,192,148,511.0,50058,#b2c094
