,index,hoofdKleur,grijsGroep,R,G,B,grijswaarde,aantal,hex,naam
0,1,0,0,172,191,105,130.76344620740028,100,#acbf69,Light Olive
1,4,0,2,117,109,71,275.3209227306827,100,#756d47,Olive Drab
2,7,0,1,142,171,18,405.50890564462713,100,#8eab12,Pea Green
3,0,0,1,181,173,136,84.67538885472888,100,#b5ad88,Olive Green
4,3,1,2,0,106,78,200.65303583769375,100,#006a4e,Bottle Green
5,6,1,1,116,51,50,388.2706187725027,100,#743332,Russet Brown
6,7,1,0,1,50,32,388.2706187725027,100,#013220,near-black Dark Green
