,R,G,B,aantal,verdeling_in_N,verdeling_in_2
0,38,49,29,813185,7,0
1,48,44,39,629429,0,1
2,53,84,45,1171524,2,0
3,75,118,64,1216928,8,0
4,78,79,82,56373,5,1
5,112,160,94,941063,1,0
6,131,119,108,119234,3,1
7,148,205,93,710818,6,0
8,167,184,183,18193,9,0
9,186,217,192,431373,4,0
