,R,G,B,RG,grijswaarde,groep,hex,counts
0,13,16,8,135,37,-2,#0d1008,2582
1,47,64,31,254,142,0,#2f401f,18777
2,69,60,37,0,166,5,#453c25,16043
3,92,117,68,254,277,4,#5c7544,19563
4,123,108,74,0,305,3,#7b6c4a,19482
5,145,168,123,254,436,2,#91a87b,10197
6,177,161,139,0,477,1,#b1a18b,10832
7,228,222,211,77,661,-1,#e4ded3,2524
