,R,G,B,aantal,verdeling_in_N,verdeling_in_M
6,164,138,88,4958893,0,0
4,116,96,48,4323633,4,0
1,65,52,22,2210213,6,0
8,212,192,154,1956092,7,0
3,115,134,72,5745595,1,1
7,172,187,140,3318548,5,1
5,132,146,149,68208,8,1
0,37,52,19,5281801,2,2
2,74,92,38,8137017,3,2
