,R,G,B,RG,grijswaarde,groep,hex,counts
0,13,16,8,136,37,-2,#0d1008,25618
1,47,64,31,255,142,1,#2f401f,187239
2,70,61,37,0,168,4,#463d25,166065
3,92,117,69,255,278,5,#5c7545,194748
4,124,109,75,0,308,0,#7c6d4b,194290
5,146,169,123,255,438,3,#92a97b,101511
6,178,162,140,0,480,2,#b2a28c,105197
7,228,222,211,75,661,-1,#e4ded3,25332
