,R,G,B,groen,grijswaarde,groep,hex,counts
0,12,15,7,137,34,-2,#0c0f07,26
1,48,65,33,255,146,1,#304121,196
2,70,60,36,0,166,0,#463c24,160
3,92,117,70,255,279,5,#5c7546,186
4,123,106,70,0,299,3,#7b6a46,193
5,143,165,124,255,432,2,#8fa57c,104
6,171,156,134,0,461,4,#ab9c86,110
7,222,213,206,61,641,-1,#ded5ce,25
