,R,G,B,aantal,verdeling_in_N,verdeling_in_M
13,148,201,96,1002144,0,0
11,113,132,105,2428692,4,0
6,70,103,103,181495,7,0
14,149,170,138,1727390,12,0
8,80,121,65,3405484,13,0
18,200,219,194,886831,14,0
16,189,203,208,159358,16,0
10,109,152,83,2085731,17,0
15,186,167,149,1753180,1,1
5,60,51,39,1658122,3,1
17,197,197,203,235107,5,1
9,105,86,67,1992724,8,1
0,10,10,9,1225296,9,1
4,59,58,62,115431,10,1
19,223,210,198,1363016,15,1
12,146,125,107,1860013,19,1
3,55,77,43,4555552,2,2
1,22,32,19,2666256,6,2
7,72,98,59,4639505,11,2
2,40,55,31,3937073,18,2
