,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,17,17,13,1512226,3,1
1,26,36,22,3691469,7,0
2,49,65,37,5584889,9,0
3,59,58,62,115431,15,1
4,67,93,54,6205408,0,0
5,70,103,103,181495,5,2
6,74,61,47,2121716,10,1
7,90,122,75,5602162,13,2
8,124,104,85,2269239,1,1
9,126,153,111,3706741,2,2
10,144,195,95,1239539,8,2
11,171,152,135,2181285,6,1
12,189,203,208,159358,12,2
13,189,208,183,1304450,11,2
14,197,197,203,235107,4,1
15,220,204,190,1767885,14,1
