,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,1,0,1,109463,0,1
1,2,3,1,7366,6,1
2,6,1,15,14927,7,0
3,11,34,50,1059,12,2
4,14,183,248,60702,2,2
5,17,127,236,76744,4,0
6,20,13,200,83452,8,0
7,22,161,183,29655,13,2
8,80,15,203,110230,11,0
9,98,17,242,79254,1,0
10,101,9,134,104939,5,0
11,202,13,252,45035,9,0
12,207,7,51,92945,3,1
13,208,8,105,75891,10,1
