,R,G,B,RG,grijswaarde,groep,hex,counts
0,13,15,7,132,35,-2,#0d0f07,27
1,48,65,32,255,145,4,#304120,187
2,72,62,37,0,171,2,#483e25,146
3,91,115,70,255,276,1,#5b7346,196
4,125,109,75,0,309,0,#7d6d4b,209
5,143,171,118,255,432,3,#8fab76,99
6,181,162,138,0,481,5,#b5a28a,111
7,233,228,215,81,676,-1,#e9e4d7,25
