,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,16,16,12,1484107,6,1
1,25,34,20,3352058,14,2
2,46,62,36,5250588,3,2
3,59,58,62,115431,15,1
4,64,90,51,6073511,12,2
5,70,103,103,181495,7,0
6,72,60,46,2086547,9,1
7,86,118,71,5819012,0,0
8,121,151,106,4147626,8,0
9,123,103,84,2273388,1,1
10,143,194,94,1290376,4,0
11,170,151,134,2205751,10,1
12,187,206,181,1401487,13,0
13,189,203,208,159358,11,0
14,197,197,203,235107,2,1
15,219,203,189,1802558,5,1
