,R,G,B,aantal,verdeling_in_N,verdeling_in_2
0,37,48,28,10818146,3,1
1,41,35,26,3674210,2,0
2,78,103,62,11142318,0,1
3,115,135,138,371168,7,1
4,120,100,81,3607125,5,0
5,148,173,126,4752879,4,1
6,152,150,156,411136,6,0
7,202,183,166,3101418,1,0
