,R,G,B,aantal,verdeling_in_N,verdeling_in_2
0,26,23,19,1986948,8,0
1,32,45,27,6501406,7,1
2,63,87,50,9228467,0,1
3,93,77,60,2842292,1,0
4,98,131,83,8014391,2,1
5,123,149,150,340853,6,1
6,148,148,154,350538,3,0
7,152,134,115,2712034,9,0
8,162,192,138,3590394,5,1
9,212,197,183,2311077,4,0
