,R,G,B,RG,grijswaarde,groep,hex,counts
0,13,16,8,137,37,-2,#0d1008,2565
1,46,63,31,255,140,2,#2e3f1f,18472
2,71,61,37,0,169,4,#473d25,16686
3,91,116,68,254,275,5,#5b7444,19534
4,125,109,76,0,310,1,#7d6d4c,19506
5,145,168,123,254,436,0,#91a87b,10518
6,180,164,142,0,486,3,#b4a48e,10217
7,228,223,211,76,662,-1,#e4dfd3,2502
