,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,36,51,18,5061650,4,0
1,64,51,21,2140977,3,1
2,72,90,38,8044075,1,0
3,113,132,70,5918399,8,2
4,115,95,48,4228416,7,1
5,132,146,149,68208,6,2
6,161,137,86,4955278,0,1
7,171,185,139,3458837,2,2
8,209,189,149,2124160,5,1
