,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,41,56,32,10222321,0,0
1,63,53,42,4762388,1,1
2,81,112,67,11820316,5,2
3,123,149,150,340853,6,2
4,148,148,154,350538,4,1
5,149,179,128,5292021,3,2
6,179,161,145,5089963,2,1
