,R,G,B,RG,grijswaarde,groep,hex,counts
0,13,16,8,135,37,-2,#0d1008,25241
1,47,64,31,255,142,0,#2f401f,188917
2,70,60,37,0,167,4,#463c25,164762
3,93,117,69,255,279,2,#5d7545,195490
4,124,109,75,0,308,1,#7c6d4b,193834
5,146,169,123,255,438,5,#92a97b,100962
6,178,162,140,0,480,3,#b2a28c,105660
7,228,222,211,75,661,-1,#e4ded3,25134
