,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,37,52,19,5270562,2,2
1,74,92,38,8162852,4,2
2,77,63,27,3491842,3,1
3,116,134,70,5761746,6,0
4,138,116,66,6077461,5,1
5,173,186,138,3356009,0,0
6,196,172,126,3879528,1,1
