,R,G,B,RG,grijswaarde,groep,hex,counts
0,11,14,6,127,31,-2,#0b0e06,26
1,46,63,30,255,139,2,#2e3f1e,206
2,63,55,35,0,153,5,#3f3723,138
3,88,111,65,255,264,4,#586f41,174
4,121,105,74,0,300,0,#79694a,199
5,134,160,105,255,399,1,#86a069,116
6,176,161,139,0,476,3,#b0a18b,116
7,231,226,215,71,672,-1,#e7e2d7,25
