,R,G,B,RG,grijswaarde,groep,hex,counts
0,13,16,8,134,37,-2,#0d1008,25747
1,46,63,31,255,140,5,#2e3f1f,182062
2,70,61,37,0,168,1,#463d25,166409
3,91,116,68,255,275,0,#5b7444,196302
4,124,109,75,0,308,3,#7c6d4b,193951
5,144,167,122,255,433,4,#90a77a,105859
6,178,163,141,0,482,2,#b2a38d,104402
7,228,222,211,75,661,-1,#e4ded3,25268
