,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,46,65,27,8262472,3,0
1,87,73,47,3744882,6,1
2,96,116,68,10417559,1,0
3,115,118,122,704781,2,2
4,127,137,140,170680,5,0
5,158,173,129,6829340,4,0
6,171,150,112,5870286,0,1
