,R,G,B,RG,grijswaarde,groep,hex,counts
0,13,16,8,135,37,-2,#0d1008,25591
1,46,63,31,254,140,5,#2e3f1f,181977
2,70,61,37,0,168,0,#463d25,167128
3,91,116,67,254,274,1,#5b7443,195879
4,124,109,75,0,308,2,#7c6d4b,193820
5,144,167,122,254,433,3,#90a77a,106321
6,178,163,141,0,482,4,#b2a38d,103949
7,228,222,211,76,661,-1,#e4ded3,25335
