,R,G,B,aantal,verdeling_in_N,verdeling_in_M
3,111,130,68,6051596,2,0
7,170,184,138,3585369,3,0
5,132,146,149,68208,8,0
6,163,137,87,4962631,1,1
4,116,96,48,4252107,4,1
1,65,52,22,2165917,6,1
8,210,190,150,2068176,7,1
2,71,89,37,7946871,0,2
0,35,50,17,4899125,5,2
