,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,17,17,13,1525421,2,1
1,26,36,22,3700002,5,2
2,49,65,37,5631101,8,2
3,59,58,62,115431,12,1
4,66,94,55,6267814,0,2
5,74,61,47,2137732,7,1
6,91,123,76,5706757,11,0
7,123,149,150,340853,6,0
8,125,105,85,2270063,1,1
9,126,157,108,3916264,4,0
10,172,153,136,2169947,13,1
11,177,208,150,2112720,9,0
12,197,197,203,235107,3,1
13,220,204,190,1749188,10,1
